Timestamp,Source,Destination,Protocol,Length
2019-01-17 18:29:10.467105,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467106,181.47.185.47,30.241.116.225,TCP,56
2019-01-17 18:29:10.467106,169.85.223.179,136.127.65.205,TCP,1484
2019-01-17 18:29:10.467107,169.85.223.179,136.127.65.205,TCP,1484
2019-01-17 18:29:10.467108,42.27.128.236,180.211.115.195,_WS.SHORT,1470
2019-01-17 18:29:10.467110,168.10.56.159,158.48.141.223,_WS.SHORT,134
2019-01-17 18:29:10.467110,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.467112,42.27.128.236,180.211.115.195,_WS.SHORT,1470
2019-01-17 18:29:10.467113,42.27.128.236,180.211.115.195,_WS.SHORT,1470
2019-01-17 18:29:10.467114,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467115,42.27.128.236,180.211.115.195,_WS.SHORT,1470
2019-01-17 18:29:10.467117,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467118,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467119,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467120,82.96.243.186,175.71.47.35,TCP,50
2019-01-17 18:29:10.467120,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467122,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467123,26.120.99.176,175.84.134.113,TCP,1504
2019-01-17 18:29:10.467124,169.67.224.76,170.223.2.172,TCP,1484
2019-01-17 18:29:10.467126,55.15.75.125,182.250.166.246,TCP,1496
2019-01-17 18:29:10.467127,55.15.75.125,182.250.166.246,TCP,1496
2019-01-17 18:29:10.467129,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.467130,169.67.224.76,170.223.2.172,TCP,1484
2019-01-17 18:29:10.467131,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467132,67.227.179.234,175.73.18.70,TCP,888
2019-01-17 18:29:10.467133,34.204.55.168,161.90.126.43,_WS.SHORT,1408
2019-01-17 18:29:10.467134,213.5.4.231,170.227.27.213,TCP,1484
2019-01-17 18:29:10.467136,213.13.165.129,136.28.62.150,_WS.SHORT,538
2019-01-17 18:29:10.467136,213.5.4.231,170.227.27.213,TCP,1484
2019-01-17 18:29:10.467137,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467139,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467140,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467142,169.67.224.76,170.223.2.172,TCP,1484
2019-01-17 18:29:10.467143,169.67.224.76,170.223.2.172,TCP,1484
2019-01-17 18:29:10.467144,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.467145,81.185.15.168,161.28.213.231,_WS.SHORT,1457
2019-01-17 18:29:10.467147,169.85.223.179,136.127.65.205,TCP,1484
2019-01-17 18:29:10.467148,169.85.223.179,136.127.65.205,TCP,1484
2019-01-17 18:29:10.467149,85.115.43.129,182.246.120.167,TCP,179
2019-01-17 18:29:10.467149,204.230.31.233,30.239.0.73,TCP,101
2019-01-17 18:29:10.467149,164.253.48.8,45.62.82.165,TCP,50
2019-01-17 18:29:10.467150,148.227.25.132,170.238.198.38,TCP,1504
2019-01-17 18:29:10.467151,169.250.86.160,161.127.70.143,_WS.SHORT,1262
2019-01-17 18:29:10.467152,148.227.25.132,170.238.198.38,TCP,1504
2019-01-17 18:29:10.467154,34.204.55.168,161.90.126.43,_WS.SHORT,1408
2019-01-17 18:29:10.467155,34.204.55.168,161.90.126.43,_WS.SHORT,1408
2019-01-17 18:29:10.467157,164.253.48.8,45.62.82.165,TCP,50
2019-01-17 18:29:10.467159,82.96.243.186,175.71.47.31,TCP,50
2019-01-17 18:29:10.467165,195.188.164.4,131.251.72.222,TCP,102
2019-01-17 18:29:10.467168,85.96.119.54,170.199.77.253,_WS.SHORT,52
2019-01-17 18:29:10.467169,205.190.20.171,173.31.236.81,TCP,1404
2019-01-17 18:29:10.467170,169.122.108.192,161.146.171.231,TCP,50
2019-01-17 18:29:10.467170,41.18.158.248,117.154.150.7,TCP,132
2019-01-17 18:29:10.467172,55.69.107.86,161.28.213.154,TCP,56
2019-01-17 18:29:10.467173,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467174,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467176,169.250.86.160,161.127.70.143,_WS.SHORT,1357
2019-01-17 18:29:10.467177,178.13.64.40,175.71.130.18,_WS.SHORT,1382
2019-01-17 18:29:10.467178,205.190.20.171,173.31.236.81,TCP,1404
2019-01-17 18:29:10.467179,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467181,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467182,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467183,2.249.195.104,175.73.41.180,_WS.SHORT,135
2019-01-17 18:29:10.467184,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467185,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467186,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467187,30.220.161.84,146.55.105.98,TCP,56
2019-01-17 18:29:10.467187,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467189,52.123.5.193,173.141.4.140,TCP,50
2019-01-17 18:29:10.467190,124.25.147.70,146.55.105.106,TCP,546
2019-01-17 18:29:10.467191,148.227.25.132,170.238.198.38,TCP,1504
2019-01-17 18:29:10.467192,148.227.25.132,170.238.198.38,TCP,1504
2019-01-17 18:29:10.467194,55.103.2.135,146.55.105.94,TCP,1504
2019-01-17 18:29:10.467195,55.103.2.135,146.55.105.94,TCP,1504
2019-01-17 18:29:10.467197,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467198,195.176.14.208,180.211.115.201,_WS.SHORT,112
2019-01-17 18:29:10.467198,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467199,55.103.2.135,146.55.105.94,TCP,1504
2019-01-17 18:29:10.467201,55.103.2.135,146.55.105.94,TCP,1504
2019-01-17 18:29:10.467202,55.15.84.136,175.251.59.10,TCP,1484
2019-01-17 18:29:10.467203,199.228.118.198,158.48.141.192,_WS.SHORT,134
2019-01-17 18:29:10.467203,30.216.205.123,179.163.203.205,TCP,109
2019-01-17 18:29:10.467204,16.136.231.131,45.169.196.51,TCP,89
2019-01-17 18:29:10.467204,55.15.84.136,175.251.59.10,TCP,1484
2019-01-17 18:29:10.467205,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467206,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467208,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467209,55.103.2.135,146.55.105.94,TCP,1504
2019-01-17 18:29:10.467211,55.103.2.135,146.55.105.94,TCP,1504
2019-01-17 18:29:10.467212,55.15.77.255,161.158.23.227,TCP,1504
2019-01-17 18:29:10.467213,55.15.77.255,161.158.23.227,TCP,1504
2019-01-17 18:29:10.467214,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467216,66.132.107.223,203.127.163.89,TCP,1504
2019-01-17 18:29:10.467217,55.103.2.135,146.55.105.94,TCP,1504
2019-01-17 18:29:10.467218,55.103.2.135,146.55.105.94,TCP,546
2019-01-17 18:29:10.467219,169.221.13.230,162.102.29.254,TCP,50
2019-01-17 18:29:10.467219,210.86.133.150,170.227.28.81,TCP,1484
2019-01-17 18:29:10.467220,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467221,210.86.133.150,170.227.28.81,TCP,1484
2019-01-17 18:29:10.467223,158.119.108.48,161.89.86.9,TCP,368
2019-01-17 18:29:10.467223,66.132.107.223,203.127.163.89,TCP,1504
2019-01-17 18:29:10.467225,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467226,169.107.219.102,171.223.194.196,TCP,1484
2019-01-17 18:29:10.467227,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467229,169.107.219.102,171.223.194.196,TCP,1484
2019-01-17 18:29:10.467231,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467232,66.132.107.223,203.127.163.89,TCP,1504
2019-01-17 18:29:10.467233,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467234,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467236,30.216.205.214,179.163.203.164,_WS.SHORT,420
2019-01-17 18:29:10.467237,198.123.66.46,146.55.105.102,TCP,56
2019-01-17 18:29:10.467239,37.57.113.198,175.73.189.100,_WS.SHORT,210
2019-01-17 18:29:10.467241,89.192.94.138,119.164.139.203,TCP,50
2019-01-17 18:29:10.467242,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467245,218.183.129.49,182.22.187.247,TCP,1484
2019-01-17 18:29:10.467246,66.132.107.223,203.127.163.89,TCP,1504
2019-01-17 18:29:10.467247,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467249,174.2.146.74,202.209.116.207,TCP,1456
2019-01-17 18:29:10.467250,213.13.164.19,161.146.140.150,_WS.SHORT,592
2019-01-17 18:29:10.467251,26.120.121.241,161.130.9.214,TCP,50
2019-01-17 18:29:10.467251,218.183.129.49,182.22.187.247,TCP,1484
2019-01-17 18:29:10.467252,183.62.189.213,45.62.202.180,TCP,56
2019-01-17 18:29:10.467252,218.183.129.49,182.22.187.247,TCP,1484
2019-01-17 18:29:10.467253,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467255,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467256,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467257,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467259,213.5.4.231,175.71.254.142,TCP,56
2019-01-17 18:29:10.467259,169.67.224.76,180.180.200.30,TCP,1484
2019-01-17 18:29:10.467260,195.176.14.208,180.211.115.201,_WS.SHORT,128
2019-01-17 18:29:10.467260,129.121.112.99,175.73.163.6,_WS.SHORT,80
2019-01-17 18:29:10.467266,66.222.224.79,171.168.16.184,TCP,1484
2019-01-17 18:29:10.467269,128.55.250.87,202.209.116.83,_WS.SHORT,50
2019-01-17 18:29:10.467275,37.8.76.40,169.77.38.229,_WS.SHORT,75
2019-01-17 18:29:10.467276,26.69.108.189,175.84.167.81,TCP,141
2019-01-17 18:29:10.467279,148.227.29.239,131.96.29.124,TCP,1484
2019-01-17 18:29:10.467280,148.227.29.239,131.96.29.124,TCP,1484
2019-01-17 18:29:10.467282,124.25.147.70,146.55.105.106,TCP,1504
2019-01-17 18:29:10.467284,124.25.147.70,146.55.105.106,TCP,123
2019-01-17 18:29:10.467288,94.20.173.126,158.48.141.195,_WS.SHORT,117
2019-01-17 18:29:10.467293,148.227.29.239,131.96.29.124,TCP,1484
2019-01-17 18:29:10.467294,55.67.181.13,171.223.204.150,TCP,68
2019-01-17 18:29:10.467294,148.227.29.239,131.96.29.124,TCP,1484
2019-01-17 18:29:10.467296,108.237.93.187,175.84.137.243,TCP,52
2019-01-17 18:29:10.467300,52.15.19.91,182.246.132.114,TCP,1484
2019-01-17 18:29:10.467301,148.227.29.239,131.96.29.124,TCP,1484
2019-01-17 18:29:10.467303,158.119.109.128,171.223.202.250,TCP,56
2019-01-17 18:29:10.467303,52.15.19.91,182.246.132.114,TCP,1484
2019-01-17 18:29:10.467304,52.127.131.146,175.84.134.208,TCP,64
2019-01-17 18:29:10.467304,172.16.129.236,173.164.99.129,TCP,1496
2019-01-17 18:29:10.467306,172.16.129.236,173.164.99.129,TCP,1496
2019-01-17 18:29:10.467307,75.9.26.221,136.87.69.210,_WS.SHORT,164
2019-01-17 18:29:10.467309,52.15.19.91,182.246.132.114,TCP,1484
2019-01-17 18:29:10.467310,178.22.254.74,161.80.83.183,TCP,769
2019-01-17 18:29:10.467311,198.217.250.88,136.87.69.123,_WS.SHORT,52
2019-01-17 18:29:10.467312,169.20.51.45,161.146.156.225,TCP,56
2019-01-17 18:29:10.467315,89.84.167.199,162.161.233.127,TCP,1496
2019-01-17 18:29:10.467317,63.141.94.13,162.160.152.70,TCP,1504
2019-01-17 18:29:10.467318,222.85.105.96,169.77.39.49,_WS.SHORT,233
2019-01-17 18:29:10.467318,52.15.19.91,182.246.132.114,TCP,1085
2019-01-17 18:29:10.467320,89.84.167.199,162.161.233.127,TCP,1496
2019-01-17 18:29:10.467321,52.223.227.38,146.55.105.107,TCP,484
2019-01-17 18:29:10.467323,52.123.5.193,173.141.4.140,TCP,50
2019-01-17 18:29:10.467328,63.141.94.13,162.160.152.70,TCP,1504
2019-01-17 18:29:10.467331,55.13.152.119,175.84.145.27,TCP,64
